Duration,Morning,Afternoon,Evening,Night,Weekday,Weekend,Male,Age
477,1,0,0,0,1,0,0,20
910,0,1,0,0,1,0,0,20
440,0,0,1,0,1,0,0,20
211,0,1,0,0,1,0,0,20
730,0,1,0,0,1,0,0,20
916,0,1,0,0,1,0,0,20
923,0,0,1,0,1,0,0,20
278,1,0,0,0,1,0,0,20
459,1,0,0,0,1,0,0,20
1695,0,1,0,0,1,0,0,20
1580,0,0,1,0,1,0,0,20
732,1,0,0,0,1,0,0,20
465,1,0,0,0,1,0,0,20
1170,1,0,0,0,1,0,0,20
750,0,1,0,0,1,0,0,20
615,0,1,0,0,1,0,0,20
938,0,0,1,0,1,0,0,20
871,1,0,0,0,0,1,0,20
895,0,0,1,0,0,1,0,20
947,0,0,1,0,0,1,0,20
1335,0,1,0,0,0,1,0,20
846,0,0,1,0,0,1,0,20
641,1,0,0,0,1,0,0,20
979,1,0,0,0,1,0,0,20
830,0,1,0,0,1,0,0,20
1280,0,1,0,0,1,0,0,20
721,1,0,0,0,1,0,0,20
446,1,0,0,0,1,0,0,20
1733,1,0,0,0,1,0,0,20
384,1,0,0,0,1,0,0,20
1245,0,1,0,0,1,0,0,20
721,0,1,0,0,1,0,0,20
555,0,1,0,0,1,0,0,20
929,0,1,0,0,1,0,0,20
934,0,0,1,0,1,0,0,20
1284,0,0,1,0,1,0,0,20
611,1,0,0,0,1,0,0,20
797,1,0,0,0,1,0,0,20
553,0,1,0,0,1,0,0,20
407,0,0,1,0,1,0,0,20
405,0,0,1,0,1,0,0,20
961,0,0,0,1,1,0,0,20
788,0,0,0,1,1,0,0,20
802,1,0,0,0,1,0,0,20
1384,1,0,0,0,1,0,0,20
920,0,1,0,0,1,0,0,20
755,0,0,1,0,1,0,0,20
310,1,0,0,0,0,1,0,20
911,0,1,0,0,0,1,0,20
936,0,0,1,0,0,1,0,20
936,1,0,0,0,0,1,0,20
496,1,0,0,0,0,1,0,20
1124,0,1,0,0,0,1,0,20
1167,0,0,1,0,0,1,0,20
1601,0,1,0,0,1,0,0,20
709,0,1,0,0,1,0,0,20
880,0,1,0,0,1,0,0,20
840,0,0,1,0,1,0,0,20
848,0,0,1,0,1,0,0,20
609,1,0,0,0,1,0,0,20
1324,1,0,0,0,1,0,0,20
795,1,0,0,0,1,0,0,20
426,1,0,0,0,1,0,0,20
865,0,1,0,0,1,0,0,20
789,0,1,0,0,1,0,0,20
618,0,1,0,0,1,0,0,20
286,0,0,1,0,1,0,0,20
574,0,0,1,0,1,0,0,20
226,0,1,0,0,1,0,0,20
553,0,1,0,0,1,0,0,20
204,0,0,1,0,1,0,0,20
766,0,0,1,0,1,0,0,20
693,1,0,0,0,1,0,0,20
421,1,0,0,0,1,0,0,20
824,1,0,0,0,1,0,0,20
581,0,1,0,0,1,0,0,20
699,0,0,1,0,1,0,0,20
790,0,0,1,0,1,0,0,20
636,0,1,0,0,1,0,0,20
285,0,0,1,0,1,0,0,20
966,0,1,0,0,0,1,0,20
1420,0,1,0,0,0,1,0,20
912,0,0,1,0,0,1,0,20
476,0,0,1,0,0,1,0,20
1360,1,0,0,0,0,1,0,20
590,1,0,0,0,0,1,0,20
1026,0,1,0,0,0,1,0,20
125,0,0,1,0,0,1,0,20
172,0,0,1,0,0,1,0,20
458,0,0,1,0,0,1,0,20
994,0,0,0,1,1,0,0,20
839,0,0,0,1,1,0,0,20
619,1,0,0,0,1,0,0,20
848,0,1,0,0,1,0,0,20
619,0,1,0,0,1,0,0,20
1416,0,1,0,0,1,0,0,20
1346,0,0,1,0,1,0,0,20
648,0,0,1,0,1,0,0,20
397,1,0,0,0,1,0,0,20
854,1,0,0,0,1,0,0,20
1190,0,1,0,0,1,0,0,20
923,0,1,0,0,1,0,0,20
823,0,1,0,0,1,0,0,20
857,0,0,1,0,1,0,0,20
526,1,0,0,0,1,0,0,20
1796,1,0,0,0,1,0,0,20
560,0,1,0,0,1,0,0,20
724,0,1,0,0,1,0,0,20
796,0,1,0,0,1,0,0,20
416,0,1,0,0,1,0,0,20
621,0,0,1,0,1,0,0,20
863,0,0,1,0,1,0,0,20
946,1,0,0,0,1,0,0,20
749,1,0,0,0,1,0,0,20
830,0,1,0,0,1,0,0,20
496,0,1,0,0,1,0,0,20
567,0,1,0,0,1,0,0,20
334,0,1,0,0,1,0,0,20
1537,0,0,1,0,1,0,0,20
465,1,0,0,0,1,0,0,20
713,1,0,0,0,1,0,0,20
1397,1,0,0,0,1,0,0,20
844,0,1,0,0,1,0,0,20
2348,0,1,0,0,1,0,0,20
1026,0,1,0,0,1,0,0,20
332,0,1,0,0,1,0,0,20
820,0,0,1,0,1,0,0,20
290,0,1,0,0,0,1,0,20
559,0,0,1,0,0,1,0,20
164,0,0,1,0,0,1,0,20
410,1,0,0,0,1,0,0,20
265,0,1,0,0,1,0,0,20
470,0,0,1,0,1,0,0,20
433,1,0,0,0,1,0,0,20
763,0,1,0,0,1,0,0,20
304,0,1,0,0,1,0,0,20
512,0,0,1,0,1,0,0,20
543,1,0,0,0,1,0,0,20
591,1,0,0,0,1,0,0,20
971,0,1,0,0,1,0,0,20
513,0,1,0,0,1,0,0,20
1230,0,0,1,0,1,0,0,20
512,1,0,0,0,1,0,0,20
292,1,0,0,0,1,0,0,20
372,1,0,0,0,1,0,0,20
1051,0,1,0,0,1,0,0,20
374,0,1,0,0,1,0,0,20
460,0,0,1,0,1,0,0,20
825,0,0,1,0,1,0,0,20
514,0,1,0,0,0,1,0,20
1561,0,1,0,0,0,1,0,20
554,0,1,0,0,0,1,0,20
1593,0,1,0,0,0,1,0,20
484,0,0,1,0,0,1,0,20
1390,0,0,0,1,0,1,0,20
615,0,0,0,1,0,1,0,20
1279,0,0,0,1,0,1,0,20
357,1,0,0,0,0,1,0,20
673,0,1,0,0,0,1,0,20
260,1,0,0,0,1,0,0,20
582,0,1,0,0,1,0,0,20
725,0,1,0,0,1,0,0,20
940,0,1,0,0,1,0,0,20
239,0,1,0,0,1,0,0,20
534,0,1,0,0,1,0,0,20
871,0,1,0,0,1,0,0,20
890,0,0,1,0,1,0,0,20
489,0,0,1,0,1,0,0,20
511,1,0,0,0,1,0,0,20
504,1,0,0,0,1,0,0,20
612,1,0,0,0,1,0,0,20
242,0,1,0,0,1,0,0,20
620,0,1,0,0,1,0,0,20
676,0,1,0,0,1,0,0,20
565,0,1,0,0,1,0,0,20
464,0,1,0,0,1,0,0,20
498,0,0,1,0,1,0,0,20
556,1,0,0,0,1,0,0,20
306,1,0,0,0,1,0,0,20
382,1,0,0,0,1,0,0,20
1708,1,0,0,0,1,0,0,20
839,0,1,0,0,1,0,0,20
475,0,1,0,0,1,0,0,20
340,0,1,0,0,1,0,0,20
993,0,1,0,0,1,0,0,20
508,0,1,0,0,1,0,0,20
1662,0,0,1,0,1,0,0,20
1098,0,0,1,0,1,0,0,20
1101,0,0,1,0,1,0,0,20
1280,0,0,0,1,1,0,0,20
767,1,0,0,0,1,0,0,20
949,0,1,0,0,1,0,0,20
442,0,1,0,0,1,0,0,20
735,0,1,0,0,1,0,0,20
567,0,1,0,0,1,0,0,20
1767,0,1,0,0,1,0,0,20
431,0,1,0,0,1,0,0,20
423,0,0,1,0,1,0,0,20
386,0,0,0,1,1,0,0,20
679,1,0,0,0,1,0,0,20
431,1,0,0,0,1,0,0,20
997,0,1,0,0,1,0,0,20
1491,0,1,0,0,1,0,0,20
669,0,1,0,0,1,0,0,20
471,0,1,0,0,1,0,0,20
311,0,0,1,0,1,0,0,20
668,0,0,1,0,1,0,0,20
361,0,0,1,0,1,0,0,20
322,0,1,0,0,0,1,0,20
1183,1,0,0,0,0,1,0,20
854,0,0,1,0,0,1,0,20
1175,0,0,1,0,0,1,0,20
581,1,0,0,0,1,0,0,20
565,1,0,0,0,1,0,0,20
776,1,0,0,0,1,0,0,20
395,0,1,0,0,1,0,0,20
368,0,1,0,0,1,0,0,20
199,0,1,0,0,1,0,0,20
826,0,0,1,0,1,0,0,20
738,0,0,1,0,1,0,0,20
639,0,0,1,0,1,0,0,20
480,1,0,0,0,1,0,0,20
403,1,0,0,0,1,0,0,20
502,1,0,0,0,1,0,0,20
984,0,1,0,0,1,0,0,20
800,0,1,0,0,1,0,0,20
887,0,1,0,0,1,0,0,20
328,0,1,0,0,1,0,0,20
502,0,0,1,0,1,0,0,20
784,0,0,1,0,1,0,0,20
1027,1,0,0,0,1,0,0,20
857,0,1,0,0,1,0,0,20
1292,0,0,1,0,1,0,0,20
475,1,0,0,0,1,0,0,20
1011,1,0,0,0,1,0,0,20
884,1,0,0,0,1,0,0,20
1048,0,1,0,0,1,0,0,20
956,0,1,0,0,1,0,0,20
127,0,1,0,0,1,0,0,20
501,0,1,0,0,1,0,0,20
682,0,1,0,0,1,0,0,20
1656,0,0,1,0,1,0,0,20
149,0,0,1,0,1,0,0,20
476,0,0,1,0,1,0,0,20
378,0,0,0,1,1,0,0,20
192,0,0,0,1,1,0,0,20
502,1,0,0,0,1,0,0,20
839,1,0,0,0,1,0,0,20
1104,0,1,0,0,1,0,0,20
335,0,1,0,0,1,0,0,20
286,0,1,0,0,1,0,0,20
316,0,1,0,0,1,0,0,20
1062,1,0,0,0,0,1,0,20
1687,0,1,0,0,0,1,0,20
880,0,0,1,0,0,1,0,20
488,0,1,0,0,0,1,0,20
804,0,0,1,0,0,1,0,20
472,1,0,0,0,1,0,0,20
1343,0,1,0,0,1,0,0,20
1025,0,1,0,0,1,0,0,20
502,0,1,0,0,1,0,0,20
703,0,0,1,0,1,0,0,20
938,0,0,1,0,1,0,0,20
2011,1,0,0,0,1,0,0,20
734,1,0,0,0,1,0,0,20
1265,0,1,0,0,1,0,0,20
1367,0,1,0,0,1,0,0,20
496,0,1,0,0,1,0,0,20
932,0,0,1,0,1,0,0,20
461,1,0,0,0,1,0,0,20
1441,1,0,0,0,1,0,0,20
814,0,1,0,0,1,0,0,20
391,0,1,0,0,1,0,0,20
835,0,0,1,0,1,0,0,20
560,0,0,1,0,1,0,0,20
781,0,0,0,1,1,0,0,20
809,1,0,0,0,1,0,0,20
1034,1,0,0,0,1,0,0,20
370,0,0,1,0,1,0,0,20
939,0,0,1,0,1,0,0,20
442,1,0,0,0,1,0,0,20
754,1,0,0,0,1,0,0,20
873,0,0,1,0,1,0,0,20
501,1,0,0,0,0,1,0,20
579,1,0,0,0,0,1,0,20
1175,0,1,0,0,0,1,0,20
1110,0,1,0,0,0,1,0,20
531,0,1,0,0,0,1,0,20
1018,0,0,1,0,0,1,0,20
473,0,1,0,0,0,1,0,20
1032,1,0,0,0,1,0,0,20
467,1,0,0,0,1,0,0,20
355,1,0,0,0,1,0,0,20
381,0,1,0,0,1,0,0,20
1487,0,1,0,0,1,0,0,20
365,0,1,0,0,1,0,0,20
972,1,0,0,0,1,0,0,20
379,1,0,0,0,1,0,0,20
1075,0,1,0,0,1,0,0,20
429,0,0,1,0,1,0,0,20
415,0,0,1,0,1,0,0,20
774,1,0,0,0,1,0,0,20
457,1,0,0,0,1,0,0,20
384,0,1,0,0,1,0,0,20
438,0,1,0,0,1,0,0,20
1030,0,1,0,0,1,0,0,20
282,0,0,1,0,1,0,0,20
497,1,0,0,0,1,0,0,20
1069,0,1,0,0,1,0,0,20
509,0,1,0,0,1,0,0,20
298,0,1,0,0,1,0,0,20
419,1,0,0,0,1,0,0,20
1034,1,0,0,0,1,0,0,20
230,1,0,0,0,1,0,0,20
368,1,0,0,0,1,0,0,20
429,0,1,0,0,1,0,0,20
907,0,1,0,0,1,0,0,20
270,0,0,1,0,1,0,0,20
1088,0,1,0,0,0,1,0,20
391,1,0,0,0,0,1,0,20
384,0,1,0,0,0,1,0,20
354,0,1,0,0,0,1,0,20
301,0,1,0,0,0,1,0,20
443,1,0,0,0,1,0,0,20
894,1,0,0,0,1,0,0,20
317,1,0,0,0,1,0,0,20
365,1,0,0,0,1,0,0,20
1017,0,1,0,0,1,0,0,20
326,0,1,0,0,1,0,0,20
1058,0,1,0,0,1,0,0,20
429,0,0,1,0,1,0,0,20
1273,0,0,1,0,1,0,0,20
761,1,0,0,0,1,0,0,20
352,1,0,0,0,1,0,0,20
1162,0,1,0,0,1,0,0,20
1471,0,1,0,0,1,0,0,20
391,0,1,0,0,1,0,0,20
1787,0,0,1,0,1,0,0,20
966,1,0,0,0,1,0,0,20
289,1,0,0,0,1,0,0,20
1476,1,0,0,0,1,0,0,20
274,0,1,0,0,1,0,0,20
588,0,1,0,0,1,0,0,20
974,0,1,0,0,1,0,0,20
1001,0,1,0,0,1,0,0,20
340,0,1,0,0,1,0,0,20
535,0,0,1,0,1,0,0,20
946,1,0,0,0,1,0,0,20
460,0,1,0,0,1,0,0,20
433,0,1,0,0,1,0,0,20
608,0,1,0,0,1,0,0,20
931,0,1,0,0,1,0,0,20
553,0,1,0,0,1,0,0,20
471,0,1,0,0,1,0,0,20
418,0,1,0,0,1,0,0,20
276,0,1,0,0,1,0,0,20
612,0,0,1,0,1,0,0,20
899,0,0,1,0,1,0,0,20
1098,1,0,0,0,1,0,0,20
1886,0,1,0,0,1,0,0,20
295,0,1,0,0,1,0,0,20
742,0,1,0,0,1,0,0,20
1056,0,1,0,0,1,0,0,20
1047,0,1,0,0,1,0,0,20
271,0,1,0,0,1,0,0,20
572,0,0,1,0,1,0,0,20
847,0,0,1,0,1,0,0,20
429,0,1,0,0,0,1,0,20
549,0,1,0,0,0,1,0,20
262,0,0,1,0,0,1,0,20
855,0,0,1,0,0,1,0,20
460,0,0,1,0,0,1,0,20
600,0,1,0,0,0,1,0,20
810,0,0,1,0,0,1,0,20
258,0,0,1,0,0,1,0,20
641,1,0,0,0,1,0,0,20
416,0,1,0,0,1,0,0,20
194,0,1,0,0,1,0,0,20
1160,0,1,0,0,1,0,0,20
622,0,1,0,0,1,0,0,20
221,0,1,0,0,1,0,0,20
237,0,1,0,0,1,0,0,20
509,0,1,0,0,1,0,0,20
420,0,1,0,0,1,0,0,20
412,0,0,1,0,1,0,0,20
237,0,0,1,0,1,0,0,20
245,0,0,1,0,1,0,0,20
1346,0,0,1,0,1,0,0,20
1718,0,0,1,0,1,0,0,20
244,1,0,0,0,1,0,0,20
811,0,1,0,0,1,0,0,20
838,0,1,0,0,1,0,0,20
1090,0,1,0,0,1,0,0,20
679,0,1,0,0,1,0,0,20
443,0,1,0,0,1,0,0,20
501,0,1,0,0,1,0,0,20
616,0,1,0,0,1,0,0,20
535,0,0,1,0,1,0,0,20
437,0,0,1,0,1,0,0,20
579,0,0,1,0,1,0,0,20
869,0,0,1,0,1,0,0,20
425,0,0,1,0,1,0,0,20
198,0,1,0,0,1,0,0,20
531,0,1,0,0,1,0,0,20
1051,0,0,1,0,1,0,0,20
270,1,0,0,0,1,0,0,20
977,1,0,0,0,1,0,0,20
703,1,0,0,0,1,0,0,20
1162,1,0,0,0,1,0,0,20
2198,1,0,0,0,1,0,0,20
342,1,0,0,0,1,0,0,20
391,0,1,0,0,1,0,0,20
387,0,1,0,0,1,0,0,20
954,0,0,1,0,1,0,0,20
623,0,1,0,0,0,1,0,20
447,0,1,0,0,0,1,0,20
1044,0,1,0,0,0,1,0,20
640,0,0,1,0,0,1,0,20
1371,0,0,1,0,0,1,0,20
330,0,0,1,0,0,1,0,20
297,0,0,1,0,0,1,0,20
919,0,0,0,1,0,1,0,20
694,0,0,1,0,0,1,0,20
529,0,1,0,0,1,0,0,20
284,0,1,0,0,1,0,0,20
357,0,1,0,0,1,0,0,20
586,0,1,0,0,1,0,0,20
433,0,0,1,0,1,0,0,20
403,0,0,1,0,1,0,0,20
337,1,0,0,0,1,0,0,20
271,0,0,1,0,1,0,0,20
274,0,0,1,0,1,0,0,20
442,0,1,0,0,1,0,0,20
215,0,1,0,0,1,0,0,20
408,0,1,0,0,1,0,0,20
421,0,0,1,0,1,0,0,20
261,0,1,0,0,1,0,0,20
744,0,1,0,0,1,0,0,20
259,0,1,0,0,1,0,0,20
405,0,1,0,0,1,0,0,20
449,0,1,0,0,1,0,0,20
520,0,1,0,0,1,0,0,20
196,0,1,0,0,1,0,0,20
282,0,1,0,0,1,0,0,20
566,0,1,0,0,1,0,0,20
740,0,0,1,0,1,0,0,20
800,1,0,0,0,0,1,0,20
338,1,0,0,0,0,1,0,20
415,0,1,0,0,0,1,0,20
92,0,1,0,0,0,1,0,20
501,0,1,0,0,0,1,0,20
533,0,1,0,0,0,1,0,20
835,0,1,0,0,0,1,0,20
298,0,1,0,0,0,1,0,20
698,0,1,0,0,0,1,0,20
261,0,1,0,0,0,1,0,20
279,0,0,1,0,0,1,0,20
70,0,0,1,0,0,1,0,20
549,0,0,1,0,0,1,0,20
510,0,0,1,0,0,1,0,20
264,1,0,0,0,1,0,0,20
202,1,0,0,0,1,0,0,20
205,0,1,0,0,1,0,0,20
1296,0,1,0,0,1,0,0,20
521,0,1,0,0,1,0,0,20
233,0,0,1,0,1,0,0,20
202,0,0,1,0,1,0,0,20
