ID,Manufacturing Site,First Line Designation,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Unit Price,Weight (Kilograms),Line Item Insurance (USD),Freight Cost (USD)
134,"Pacific Biotech, Thailand",Yes,100,25,8750,3.5,60,14,3097.85
138,"Standard Diagnostics, Korea",Yes,25,10000,200000,0.8,3335,320,27869.74
139,"Standard Diagnostics, Korea",Yes,25,10000,200000,0.8,3335,320,28461.1
140,"Standard Diagnostics, Korea",Yes,25,10000,200000,0.8,3335,320,28359.8
161,"Aurobindo Unit III, India",Yes,60,64000,99200,0.03,4228,158.72,12237.61
176,Chembio Diagnostics Sys. Inc.,Yes,20,10000,270000,1.35,3263,432,20885.78
262,GSK Mississauga (Canada),Yes,200,40,317.6,0.04,Weight Captured Separately,0.51,Freight Included in Commodity Cost
269,Gilead(Nycomed) Oranienburg DE,Yes,30,1000,17000,0.57,76,27.2,2282.57
270,"Ranbaxy, Paonta Shahib, India",Yes,60,400,3352,0.14,23,5.36,2149.05
284,Inverness Japan,Yes,100,1500,15,0,99,0.02,0.75
305,Inverness Japan,Yes,100,650,6.5,0,Weight Captured Separately,0.01,Invoiced Separately
343,"BMS Meymac, France",Yes,200,200,340,0.01,Weight Captured Separately,0.54,Freight Included in Commodity Cost
361,"Trinity Biotech, Plc",Yes,100,2,278,1.39,Weight Captured Separately,0.44,Invoiced Separately
391,Bio-Rad Laboratories,Yes,40,476,36176,1.9,509,57.88,5446.51
392,"Standard Diagnostics, Korea",Yes,25,659,13180,0.8,206,25.83,2656.12
398,Inverness Japan,Yes,100,240,2.4,0,Weight Captured Separately,0,Invoiced Separately
399,Inverness Japan,Yes,100,213,2.13,0,14,0,360
400,"Trinity Biotech, Plc",Yes,100,63,13399.25,2.13,Weight Captured Separately,21.44,Freight Included in Commodity Cost
410,Inverness Japan,Yes,100,1634,117631.66,0.72,373,188.21,4112.46
411,Chembio Diagnostics Sys. Inc.,Yes,20,1425,38475,1.35,483,61.56,5468.88
414,Inverness Japan,Yes,100,142,10222.58,0.72,33,16.36,1715.17
420,Mylan (formerly Matrix) Nashik,Yes,30,8400,96432,0.38,654,154.29,4051.34
422,Roche Basel,Yes,270,6,405.06,0.25,Weight Captured Separately,0.65,Freight Included in Commodity Cost
423,"BMS Meymac, France",No,200,600,870,0.01,Weight Captured Separately,1.39,Freight Included in Commodity Cost
438,"BMS Meymac, France",Yes,60,400,2800,0.12,81,4.48,2211.05
459,"BMS Meymac, France",Yes,60,6,77.1,0.21,Weight Captured Separately,0.12,Freight Included in Commodity Cost
464,Inverness Japan,Yes,100,5498,439785.02,0.8,1251,703.66,16090.22
465,Inverness Japan,Yes,100,5498,54.98,0,Weight Captured Separately,0.09,Invoiced Separately
466,"Trinity Biotech, Plc",Yes,20,15,691.42,2.3,Weight Captured Separately,1.11,Freight Included in Commodity Cost
530,Mylan (formerly Matrix) Nashik,Yes,30,1344,18359.04,0.46,1537,29.37,13507.92
531,"BMS Meymac, France",Yes,60,20,103.4,0.09,Weight Captured Separately,0.2,Freight Included in Commodity Cost
532,"BMS Meymac, France",Yes,30,100,1906,0.64,Weight Captured Separately,3.05,Freight Included in Commodity Cost
533,"BMS Meymac, France",No,200,670,1025.1,0.01,Weight Captured Separately,1.64,Freight Included in Commodity Cost
535,"BMS Meymac, France",Yes,30,2597,61470.99,0.79,117,98.35,645.1
543,"Pacific Biotech, Thailand",Yes,100,28,9800,3.5,109,15.68,782.13
551,"Trinity Biotech, Plc",Yes,100,84,11676,1.39,54,22.88,871.57
598,GSK Ware (UK),Yes,60,30,1049.4,0.58,Weight Captured Separately,1.68,Freight Included in Commodity Cost
610,"Aurobindo Unit III, India",Yes,60,38640,92736,0.04,2719,148.38,18614.72
630,"Novartis Pharma AG, Switzerland",Yes,540,34,1547.68,0.08,115,2.48,1755.87
637,"Aurobindo Unit III, India",Yes,60,42000,60900,0.02,2600,97.44,10179.16
646,"BI, Ingelheim, Germany",Yes,240,50,696.5,0.06,Weight Captured Separately,1.11,Freight Included in Commodity Cost
660,Mylan (formerly Matrix) Nashik,Yes,30,16800,171192,0.34,1224,335.54,4686.88
668,Not Applicable,Yes,25,98,3675,1.5,34,5.88,180
670,Inverness Japan,Yes,100,4500,323955,0.72,1053,634.95,11062.05
712,"Trinity Biotech, Plc",Yes,20,10,320,1.6,Weight Captured Separately,0.51,Invoiced Separately
717,Bio-Rad Laboratories,Yes,40,500,38000,1.9,562,60.8,11298.13
719,Ipca Dadra/Nagar Haveli IN,Yes,12,25000,9750,0.03,1708,19.11,12830.91
772,"MSD, Haarlem, NL",Yes,30,9,453.6,1.68,Weight Captured Separately,0.89,Freight Included in Commodity Cost
791,Inverness Japan,Yes,100,150,10798.5,0.72,46,21.17,2698.04
796,"Trinity Biotech, Plc",Yes,2,15,450,15,1,0.88,578.01
797,"Standard Diagnostics, Korea",Yes,25,319,6380,0.8,100,12.5,1122.24
835,"Aspen-OSD, Port Elizabeth, SA",Yes,30,80,1830.4,0.76,Weight Captured Separately,3.59,Freight Included in Commodity Cost
836,"Aspen-OSD, Port Elizabeth, SA",Yes,30,120,2745.6,0.76,Weight Captured Separately,5.38,Freight Included in Commodity Cost
837,"BMS Meymac, France",No,200,600,858,0.01,Weight Captured Separately,1.68,Freight Included in Commodity Cost
838,"BMS Meymac, France",No,60,7,91.35,0.22,Weight Captured Separately,0.18,Freight Included in Commodity Cost
839,ABBVIE (Abbott) Logis. UK,No,300,40,1375.6,0.11,Weight Captured Separately,2.7,Freight Included in Commodity Cost
849,Not Applicable,Yes,25,108,4050,1.5,Weight Captured Separately,7.94,Freight Included in Commodity Cost
858,"MSD, Haarlem, NL",Yes,30,50000,2520000,1.68,4093,4939.2,9339
914,Gland Pharma Ltd Pally Factory,Yes,100,140,2731.4,0.2,5209,5.35,25405.22
937,"Trinity Biotech, Plc",Yes,20,5700,182400,1.6,1906,357.5,23914.8
960,"Aurobindo Unit III, India",Yes,60,5964,51350.04,0.14,3509,100.65,12835.2
961,"Aurobindo Unit III, India",No,60,21000,50400,0.04,See ASN-3562 (ID#:960),98.78,See ASN-3562 (ID#:960)
962,"Cipla, Goa, India",Yes,60,10560,72864,0.12,924,142.81,4225.93
979,"Aurobindo Unit III, India",Yes,60,2352,20250.72,0.14,211,39.69,892.5
985,ABBVIE (Abbott) Logis. UK,Yes,300,524,21536.4,0.14,644,42.21,6668.61
986,ABBVIE Ludwigshafen Germany,Yes,60,2094,21526.32,0.17,237,42.19,Freight Included in Commodity Cost
993,Premier Med. Corp Ltd. India,Yes,30,8249,185602.5,0.75,2800,363.78,12595.81
1037,"BMS Meymac, France",Yes,30,200,4734,0.79,11,9.28,463
1046,"BMS Meymac, France",Yes,60,80,760,0.16,43,1.49,260
1047,"BMS Meymac, France",No,200,32,402.88,0.06,See ASN-3675 (ID#:1046),0.79,See ASN-3675 (ID#:1046)
1048,ABBVIE Ludwigshafen Germany,Yes,60,46,472.88,0.17,10,0.93,893.22
1063,"Aurobindo Unit III, India",Yes,30,3025,47522.75,0.52,Weight Captured Separately,93.14,Freight Included in Commodity Cost
1065,"Cipla, Goa, India",Yes,30,3500,49840,0.47,Weight Captured Separately,97.69,Freight Included in Commodity Cost
1066,"Aurobindo Unit III, India",No,240,1008,3588.48,0.01,Weight Captured Separately,7.03,Freight Included in Commodity Cost
1067,"BMS Meymac, France",Yes,200,960,1152,0.01,Weight Captured Separately,2.26,Freight Included in Commodity Cost
1068,GSK Mississauga (Canada),Yes,240,1800,10512,0.02,Weight Captured Separately,20.6,Freight Included in Commodity Cost
1070,"Aurobindo Unit III, India",Yes,60,1200,3384,0.05,Weight Captured Separately,6.63,Freight Included in Commodity Cost
1077,"Aurobindo Unit III, India",Yes,240,346,1954.9,0.02,Weight Captured Separately,3.83,Freight Included in Commodity Cost
1078,"Aurobindo Unit III, India",Yes,30,5300,16642,0.1,Weight Captured Separately,32.62,Freight Included in Commodity Cost
1079,"Aurobindo Unit III, India",Yes,240,342,1932.3,0.02,Weight Captured Separately,3.79,Freight Included in Commodity Cost
1080,"BMS Meymac, France",Yes,60,2700,10665,0.07,Weight Captured Separately,20.9,Freight Included in Commodity Cost
1084,ABBVIE Ludwigshafen Germany,Yes,120,3735,134385.3,0.3,Weight Captured Separately,263.4,Freight Included in Commodity Cost
1085,GSK Aranda,Yes,60,6000,80640,0.22,Weight Captured Separately,158.05,Freight Included in Commodity Cost
1086,"Aurobindo Unit III, India",Yes,60,11672,35016,0.05,Weight Captured Separately,68.63,Freight Included in Commodity Cost
1095,"Pacific Biotech, Thailand",Yes,100,20,7000,3.5,48,13.72,1172.11
1109,ABBVIE Ludwigshafen Germany,Yes,120,10240,420864,0.34,2523,824.89,14806.48
1110,ABBVIE (Abbott) Logis. UK,Yes,336,400,15344,0.11,175,30.07,7642.97
1111,ABBVIE (Abbott) Logis. UK,Yes,300,30,1080,0.12,Weight Captured Separately,2.12,Freight Included in Commodity Cost
1114,"Aspen-OSD, Port Elizabeth, SA",Yes,30,80,2816,1.17,Weight Captured Separately,5.52,Freight Included in Commodity Cost
1115,"Aurobindo Unit III, India",Yes,60,1000,19770,0.33,Weight Captured Separately,38.75,3134.85
1122,"Pacific Biotech, Thailand",Yes,100,60,21000,3.5,144,41.16,3128.19
1134,Inverness Japan,Yes,100,7500,600000,0.8,2215,1176,16835.31
1140,Inverness Japan,Yes,100,6395,511600,0.8,1915,1002.74,24514.33
1156,Hetero Unit III Hyderabad IN,Yes,30,55356,386384.88,0.23,4482,757.31,37404.74
1162,Bio-Rad Laboratories,Yes,40,1000,110000,2.75,1101,215.6,8074.03
1179,ABBVIE (Abbott) France,Yes,336,8,613.76,0.23,48,1.2,3366.04
1183,"Aurobindo Unit III, India",Yes,60,3500,39025,0.19,1804,76.49,6341.88
1196,"Pacific Biotech, Thailand",Yes,100,5,1750,3.5,12,3.43,684.42
1198,Chembio Diagnostics Sys. Inc.,Yes,25,67,5025,3,48,9.85,401.97
1213,"BMS Meymac, France",Yes,60,400,2800,0.12,148,5.49,14.36
1215,"Trinity Biotech, Plc",Yes,20,220,7040,1.6,79,13.8,1736.18
1221,ABBVIE (Abbott) Logis. UK,Yes,84,50,490,0.12,Weight Captured Separately,0.96,Freight Included in Commodity Cost
1222,"Aurobindo Unit III, India",Yes,60,5000,41300,0.14,Weight Captured Separately,80.95,Freight Included in Commodity Cost
1223,GSK Mississauga (Canada),Yes,240,460,2838.2,0.03,Weight Captured Separately,5.56,Freight Included in Commodity Cost
1245,Bio-Rad Laboratories,Yes,40,147,11076.45,1.88,165,,1816.57
1246,"Pacific Biotech, Thailand",Yes,100,6,2400,4,15,,1039.5
1251,"BMS Meymac, France",Yes,60,2800,19600,0.12,555,,3292.15
1262,"Pacific Biotech, Thailand",Yes,100,15,6000,4,36,,1195.29
1279,ABBVIE (Abbott) St. P'burg USA,Yes,180,260,11096.8,0.24,135,,Freight Included in Commodity Cost
1281,"Aurobindo Unit III, India",Yes,60,894,2994.9,0.06,479,,4861.14
1282,"Cipla, Goa, India",Yes,60,25100,276100,0.18,2575,,18772.94
1283,"Strides, Bangalore, India.",Yes,60,95500,144205,0.03,9170,,42453.21
1285,"Trinity Biotech, Plc",Yes,20,900,36000,2,316,,4989.87
1295,ABBSP,Yes,120,80,3288,0.34,25,,Freight Included in Commodity Cost
1298,"Cipla, Goa, India",Yes,60,70000,525000,0.12,6813,,31858.09
1299,"Cipla, Goa, India",No,30,71577,1087970.4,0.51,See ASN-242 (ID#:64),,See ASN-242 (ID#:64)
1300,"Cipla, Patalganga, India",No,60,5605,202340.5,0.6,See ASN-242 (ID#:64),,See ASN-242 (ID#:64)
1303,ABBVIE GmbH & Co.KG Wiesbaden,Yes,100,200,16000,0.8,Weight Captured Separately,,Invoiced Separately
1306,"Cipla, Goa, India",Yes,60,25000,187500,0.12,2348,300,21439.59
1307,Bio-Rad Laboratories,Yes,40,375,28500,1.9,402,,4445.75
1309,ABBVIE GmbH & Co.KG Wiesbaden,Yes,100,4650,372000,0.8,1707,,24859.45
1337,"BMS Meymac, France",Yes,60,1577,14981.5,0.16,306,23.97,Freight Included in Commodity Cost
1347,ABBVIE GmbH & Co.KG Wiesbaden,Yes,100,3500,280000,0.8,1194,448,5858.57
1350,"BMS Meymac, France",No,60,4270,40565,0.16,Weight Captured Separately,64.9,Freight Included in Commodity Cost
1356,"Aurobindo Unit III, India",Yes,240,1000,1920,0.01,960,3.07,13762.41
1357,"Aurobindo Unit III, India",No,240,1000,2100,0.01,See ASN-744 (ID#:1356),3.36,See ASN-744 (ID#:1356)
1358,"Aurobindo Unit III, India",No,240,1000,2100,0.01,See ASN-781 (ID#:115),3.36,See ASN-781 (ID#:115)
1359,"Aurobindo Unit III, India",Yes,60,3000,40500,0.22,332,64.8,4454.62
1360,"Aurobindo Unit III, India",Yes,30,22500,277425,0.41,1955,443.88,16095.39
1361,ABBVIE Ludwigshafen Germany,Yes,120,500,41095,0.68,117,65.75,1767.38
1383,"Standard Diagnostics, Korea",Yes,25,10000,200000,0.8,3336,320,25165.3
1502,"Aspen-OSD, Port Elizabeth, SA",Yes,30,1609,27353,0.57,157,43.76,7922.24
1512,ABBVIE (Abbott) Logis. UK,No,300,30,1447.8,0.16,Weight Captured Separately,2.32,Freight Included in Commodity Cost
1513,"BMS Meymac, France",No,30,100,2850,0.95,Weight Captured Separately,4.56,Freight Included in Commodity Cost
1519,ABBVIE (Abbott) Logis. UK,Yes,336,100,18333,0.55,337,29.33,2535.4
1527,Chembio Diagnostics Sys. Inc.,Yes,20,10000,270000,1.35,3336,432,28002.75
1529,Mylan (formerly Matrix) Nashik,Yes,60,1099,30222.5,0.46,113,48.36,1511.25
1530,"Aurobindo Unit III, India",Yes,60,1200,2100,0.03,125,3.36,2429.85
1531,"Pacific Biotech, Thailand",Yes,100,50,17500,3.5,Weight Captured Separately,28,Freight Included in Commodity Cost
1549,Inverness Japan,Yes,100,650,51993.5,0.8,148,83.19,2577.27
1587,"BMS Meymac, France",No,60,100,573,0.1,Weight Captured Separately,0.92,Freight Included in Commodity Cost
1593,"Trinity Biotech, Plc",Yes,20,450,14400,1.6,154,23.04,2496.62
1594,Chembio Diagnostics Sys. Inc.,Yes,20,10270,277290,1.35,2907,443.66,18864.37
1618,"Trinity Biotech, Plc",Yes,20,9000,288000,1.6,9000,460.8,55746.59
1628,"Trinity Biotech, Plc",Yes,20,6040,193280,1.6,2052,309.25,24689
1634,Inverness Japan,Yes,100,4300,43,0,284,0.07,Freight Included in Commodity Cost
1637,Chembio Diagnostics Sys. Inc.,Yes,20,289,7803,1.35,79,15.29,1104.69
1638,Inverness Japan,Yes,100,3000,215970,0.72,682,345.55,5298.9
1643,Inverness Japan,Yes,100,70,0.7,0,Weight Captured Separately,0,Invoiced Separately
1644,Inverness Japan,Yes,100,1116,78120,0.7,255,124.99,5175.72
1645,Inverness Japan,Yes,100,1116,78120,0.7,256,153.12,7118.12
1646,"Trinity Biotech, Plc",Yes,20,832,26624,1.6,832,42.6,3740.04
1647,Inverness Japan,Yes,100,213,15333.87,0.72,49,24.53,959.46
1648,"Pacific Biotech, Thailand",Yes,100,10,3500,3.5,39,5.6,604
1660,Inverness Japan,Yes,100,1634,16.34,0,Weight Captured Separately,0.03,Invoiced Separately
1673,ABBVIE (Abbott) Logis. UK,No,180,400,15760,0.22,Weight Captured Separately,25.22,Freight Included in Commodity Cost
1674,ABBVIE (Abbott) France,No,90,6,47.28,0.09,Weight Captured Separately,0.08,Freight Included in Commodity Cost
1675,"Aspen-OSD, Port Elizabeth, SA",No,30,500,10925,0.73,Weight Captured Separately,17.48,Freight Included in Commodity Cost
1691,"Aurobindo Unit III, India",Yes,60,10080,29232,0.05,507,46.77,4159.45
1693,Mylan (formerly Matrix) Nashik,Yes,30,6720,77145.6,0.38,522,123.43,3796.05
1719,Inverness Japan,Yes,100,250,2.5,0,17,0,Freight Included in Commodity Cost
1722,"Cipla, Goa, India",No,30,300,4614,0.51,Weight Captured Separately,7.38,Freight Included in Commodity Cost
1723,GSK Aranda,Yes,60,300,4155,0.23,Weight Captured Separately,6.65,Freight Included in Commodity Cost
1724,"BMS Meymac, France",No,30,100,1849,0.62,Weight Captured Separately,2.96,Freight Included in Commodity Cost
1730,Inverness Japan,Yes,100,1130,11.3,0,Weight Captured Separately,0.02,Invoiced Separately
1797,"BMS Meymac, France",Yes,60,400,2800,0.12,81,4.48,3013.09
1798,"Strides, Bangalore, India.",Yes,60,10780,15631,0.02,502,25.01,7575.6
1801,ABBVIE (Abbott) Logis. UK,No,180,670,24783.3,0.21,Weight Captured Separately,39.65,Freight Included in Commodity Cost
1802,GSK Cape Town Factory (South Africa),Yes,60,2000,11060,0.09,Weight Captured Separately,17.7,Freight Included in Commodity Cost
1803,GSK Aranda,Yes,60,1000,16630,0.28,Weight Captured Separately,26.61,Freight Included in Commodity Cost
1804,"BI, Ingelheim, Germany",No,240,30,435.9,0.06,Weight Captured Separately,0.7,Freight Included in Commodity Cost
1820,Inverness Japan,Yes,100,1123,78610,0.7,257,154.08,2851.72
1861,"Trinity Biotech, Plc",Yes,100,340,47260,1.39,234,75.62,5446.06
1888,"Aurobindo Unit III, India",Yes,60,47879,569281.31,0.2,5311,910.85,30408.04
1889,"Aurobindo Unit III, India",Yes,60,61021,725539.69,0.2,6768,1160.86,38120.96
1905,"Aurobindo Unit III, India",No,60,4300,37023,0.14,See ASN-2274 (ID#:610),59.24,See ASN-2274 (ID#:610)
1919,"Aurobindo Unit III, India",Yes,60,18030,26143.5,0.02,1114,41.83,5822.44
1926,GSK Aranda,Yes,60,50,663.5,0.22,Weight Captured Separately,1.06,Freight Included in Commodity Cost
1927,"MSD Midrand, J'burg, SA",No,30,250,715,0.1,Weight Captured Separately,1.14,Freight Included in Commodity Cost
1928,"BMS Meymac, France",No,30,60,1096.2,0.61,Weight Captured Separately,1.75,Freight Included in Commodity Cost
1929,"BMS Meymac, France",No,200,12,150.48,0.06,Weight Captured Separately,0.24,Freight Included in Commodity Cost
1939,Inverness Japan,Yes,100,3000,30,0,889,0.05,7303.52
1940,Inverness Japan,Yes,100,213,15333.87,0.72,49,30.05,1047.39
1941,Inverness Japan,Yes,100,6502,65.02,0,1927,0.1,24870.05
1942,Inverness Japan,Yes,100,6875,549931.25,0.8,1566,879.89,19992.75
1954,ABBVIE Ludwigshafen Germany,Yes,120,434,35674.8,0.68,113,69.92,2709.98
1955,"Aurobindo Unit III, India",Yes,60,1100,12540,0.19,159,24.58,2568.6
1956,Mylan (formerly Matrix) Nashik,Yes,30,8400,85596,0.34,613,167.77,3247.73
1957,"Cipla, Goa, India",Yes,60,3648,26448,0.12,323,51.84,2335.19
1971,Not Applicable,Yes,25,108,4050,1.5,34,7.94,648.27
1972,Chembio Diagnostics Sys. Inc.,Yes,20,5958,160866,1.35,2147,257.39,11066.17
1973,Chembio Diagnostics Sys. Inc.,Yes,20,3982,107514,1.35,1445,210.73,7303.25
2008,"KHB Test Kit Facility, Shanghai China",Yes,1,6998,160954,23,5057,257.53,44347.71
2014,"Aspen-OSD, Port Elizabeth, SA",Yes,30,300,7080,0.79,Weight Captured Separately,11.33,Freight Included in Commodity Cost
2015,"BI, Ingelheim, Germany",No,240,40,557.6,0.06,Weight Captured Separately,0.89,Freight Included in Commodity Cost
2146,"KHB Test Kit Facility, Shanghai China",Yes,1,3470,79810,23,2509,156.43,19882.25
2147,"KHB Test Kit Facility, Shanghai China",Yes,1,3510,80730,23,2535,158.23,22433.91
2148,bioLytical Laboratories,Yes,1,5000,12706.65,2.54,Weight Captured Separately,24.91,Freight Included in Commodity Cost
2153,"Aurobindo Unit III, India",Yes,60,6000,17400,0.05,581,34.1,2653.27
2156,"Cipla, Goa, India",No,30,1300,20410,0.52,Weight Captured Separately,40,Freight Included in Commodity Cost
2157,GSK Mississauga (Canada),No,200,120,733.2,0.03,Weight Captured Separately,1.44,Freight Included in Commodity Cost
2158,Roche Basel,No,270,6,424.08,0.26,Weight Captured Separately,0.83,Freight Included in Commodity Cost
2159,"BI, Ingelheim, Germany",No,240,40,540.4,0.06,Weight Captured Separately,1.06,Freight Included in Commodity Cost
2171,Inverness Japan,Yes,100,5751,460080,0.8,1723,901.76,22451.67
2173,Inverness USA,Yes,25,3,225,3,3,0.44,963.34
2257,Chembio Diagnostics Sys. Inc.,Yes,20,100,2700,1.35,28,5.29,692.38
2295,"Trinity Biotech, Plc",Yes,20,68,2176,1.6,22,4.26,1003.52
2297,"Aurobindo Unit III, India",Yes,60,9000,21600,0.04,2228,42.34,9809.7
2298,"Aurobindo Unit III, India",No,60,700,7805,0.19,See ASN-3562 (ID#:960),15.3,See ASN-3562 (ID#:960)
2305,"MSD, Haarlem, NL",Yes,30,25000,1260000,1.68,2067,2469.6,7933.38
2328,Inverness Japan,Yes,100,1680,117600,0.7,382,230.5,3241.06
2399,"Aurobindo Unit III, India",Yes,100,2100,10500,0.05,187,20.58,1903.54
2417,Inverness Japan,Yes,100,9000,648000,0.72,2655,1270.08,25052.69
2429,"Aurobindo Unit III, India",Yes,90,176,3359.84,0.21,Weight Captured Separately,6.59,Freight Included in Commodity Cost
2430,"Aurobindo Unit III, India",Yes,60,5017,24583.3,0.08,Weight Captured Separately,48.18,Freight Included in Commodity Cost
2431,"Aurobindo Unit III, India",No,240,929,3390.85,0.02,Weight Captured Separately,6.65,Freight Included in Commodity Cost
2432,"Aurobindo Unit III, India",Yes,60,6700,36582,0.09,Weight Captured Separately,71.7,Freight Included in Commodity Cost
2436,GSK Aranda,No,60,1350,19062,0.24,Weight Captured Separately,37.36,Freight Included in Commodity Cost
2437,"Cipla, Goa, India",Yes,30,1120,16307.2,0.49,Weight Captured Separately,31.96,Freight Included in Commodity Cost
2438,"BMS Meymac, France",No,60,100,371,0.06,Weight Captured Separately,0.73,Freight Included in Commodity Cost
2439,"Aurobindo Unit III, India",Yes,60,1000,2920,0.05,Weight Captured Separately,5.72,Freight Included in Commodity Cost
2440,"Boehringer Ing., Koropi, GR",No,60,260,4035.2,0.26,Weight Captured Separately,7.91,Freight Included in Commodity Cost
2441,"BMS Meymac, France",Yes,30,60,1100.4,0.61,3000,2.16,428.91
2447,"MSD Midrand, J'burg, SA",Yes,90,5000,160900,0.36,Weight Captured Separately,315.36,Freight Included in Commodity Cost
2450,GSK Ware (UK),No,5,166,2265.9,2.73,Weight Captured Separately,4.44,Freight Included in Commodity Cost
2451,"BMS Meymac, France",No,60,1500,15150,0.17,Weight Captured Separately,29.69,Freight Included in Commodity Cost
2463,"Cipla, Goa, India",Yes,60,7840,71344,0.15,719,139.83,853.88
2474,ABBVIE (Abbott) Logis. UK,Yes,300,40,1440,0.12,Weight Captured Separately,2.82,Freight Included in Commodity Cost
2475,ABBVIE (Abbott) France,Yes,90,6,43.2,0.08,Weight Captured Separately,0.08,Freight Included in Commodity Cost
2476,ABBVIE (Abbott) France,Yes,90,6,43.2,0.08,Weight Captured Separately,0.08,Freight Included in Commodity Cost
2477,Inverness Japan,Yes,100,425,38250,0.9,130,74.97,1859.79
2478,Inverness Japan,Yes,100,276,24840,0.9,87,48.69,1205.7
2481,"BMS Meymac, France",No,60,76,300.2,0.07,See ASN-4332 (ID#:1115),0.59,See ASN-4332 (ID#:1115)
2499,ABBVIE Ludwigshafen Germany,Yes,120,73,3000.3,0.34,69,5.88,1332.43
2502,"Trinity Biotech, Plc",Yes,20,5,160,1.6,2,0.31,12561.4
2503,"Trinity Biotech, Plc",Yes,20,4995,159840,1.6,4995,313.29,275
2506,ABBVIE Ludwigshafen Germany,Yes,120,2040,83844,0.34,309,164.33,3777.93
2536,Mylan (formerly Matrix) Nashik,Yes,60,26932,317528.28,0.2,3393,622.36,30661.5
2539,Bio-Rad Laboratories,Yes,40,1000,110000,2.75,1073,215.6,8114.11
2558,Inverness Japan,Yes,100,800,56000,0.7,195,109.76,2008.54
2559,"Aurobindo Unit III, India",Yes,30,150,1950,0.43,30,3.82,4111.71
2562,Bio-Rad Laboratories,Yes,40,140,15400,2.75,158,30.18,4318.21
2571,"Cipla, Goa, India",Yes,60,2000,3800,0.03,251,7.45,1484.75
2588,"BMS Meymac, France",Yes,60,120,840,0.12,Weight Captured Separately,1.65,Freight Included in Commodity Cost
2601,"BMS Meymac, France",Yes,30,20,438,0.73,Weight Captured Separately,0.86,Freight Included in Commodity Cost
2602,"BMS Meymac, France",Yes,60,320,1475.2,0.08,Weight Captured Separately,2.89,Freight Included in Commodity Cost
2603,Inverness Japan,Yes,100,2000,144000,0.72,590,310.46,5962.58
2632,ABBVIE Ludwigshafen Germany,Yes,120,2733,224625.27,0.68,589,440.27,314
2647,Bio-Rad Laboratories,Yes,40,100,7535,1.88,107,,1845.74
2654,Not Applicable,Yes,100,45,7875,1.75,29,,854.34
2655,Gilead(Nycomed) Oranienburg DE,Yes,30,1000,17000,0.57,61,,7682.69
2656,"Aurobindo Unit III, India",No,60,35000,152250,0.07,See ASN-55 (ID#:16),,See ASN-55 (ID#:16)
2657,"Aurobindo Unit III, India",No,60,20000,338000,0.28,See ASN-55 (ID#:16),,See ASN-55 (ID#:16)
2661,"Aurobindo Unit III, India",No,240,416,1809.6,0.02,See ASN-57 (ID#:23),,See ASN-57 (ID#:23)
